% Sample DEM data in CSV format
% Format: lat,lon,elevation_m
% This is a simple 10x10 grid with varying elevations
% Latitude range: 34.00 to 34.09
% Longitude range: -118.00 to -117.91
% Elevation range: 0 to 500 meters

% Create header
lat,lon,elevation_m
34.00,-118.00,0
34.00,-117.99,50
34.00,-117.98,100
34.00,-117.97,150
34.00,-117.96,200
34.00,-117.95,250
34.00,-117.94,300
34.00,-117.93,350
34.00,-117.92,400
34.00,-117.91,450
34.01,-118.00,50
34.01,-117.99,100
34.01,-117.98,150
34.01,-117.97,200
34.01,-117.96,250
34.01,-117.95,300
34.01,-117.94,350
34.01,-117.93,400
34.01,-117.92,450
34.01,-117.91,500
34.02,-118.00,100
34.02,-117.99,150
34.02,-117.98,200
34.02,-117.97,250
34.02,-117.96,300
34.02,-117.95,350
34.02,-117.94,400
34.02,-117.93,450
34.02,-117.92,500
34.02,-117.91,450
34.03,-118.00,150
34.03,-117.99,200
34.03,-117.98,250
34.03,-117.97,300
34.03,-117.96,350
34.03,-117.95,400
34.03,-117.94,450
34.03,-117.93,500
34.03,-117.92,450
34.03,-117.91,400
34.04,-118.00,200
34.04,-117.99,250
34.04,-117.98,300
34.04,-117.97,350
34.04,-117.96,400
34.04,-117.95,450
34.04,-117.94,500
34.04,-117.93,450
34.04,-117.92,400
34.04,-117.91,350
34.05,-118.00,250
34.05,-117.99,300
34.05,-117.98,350
34.05,-117.97,400
34.05,-117.96,450
34.05,-117.95,500
34.05,-117.94,450
34.05,-117.93,400
34.05,-117.92,350
34.05,-117.91,300
34.06,-118.00,300
34.06,-117.99,350
34.06,-117.98,400
34.06,-117.97,450
34.06,-117.96,500
34.06,-117.95,450
34.06,-117.94,400
34.06,-117.93,350
34.06,-117.92,300
34.06,-117.91,250
34.07,-118.00,350
34.07,-117.99,400
34.07,-117.98,450
34.07,-117.97,500
34.07,-117.96,450
34.07,-117.95,400
34.07,-117.94,350
34.07,-117.93,300
34.07,-117.92,250
34.07,-117.91,200
34.08,-118.00,400
34.08,-117.99,450
34.08,-117.98,500
34.08,-117.97,450
34.08,-117.96,400
34.08,-117.95,350
34.08,-117.94,300
34.08,-117.93,250
34.08,-117.92,200
34.08,-117.91,150
34.09,-118.00,450
34.09,-117.99,500
34.09,-117.98,450
34.09,-117.97,400
34.09,-117.96,350
34.09,-117.95,300
34.09,-117.94,250
34.09,-117.93,200
34.09,-117.92,150
34.09,-117.91,100
